Number of features	25 percentile	Median	75 percentile
1	0.021482955435611538	0.03197336864673048	0.04583725205430958
2	0.04379695095491081	0.057941588733209835	0.11152896725367166
3	0.06373000778270736	0.08587379007713421	0.20485931470921295
4	0.07986966474523871	0.125333373482865	0.2153813830324766
5	0.09715775748234111	0.1379239385313269	0.22503583491876883
6	0.13446235700424333	0.2215800029605407	0.24963252296571078
7	0.14444867595387703	0.2320097208642791	0.25414223140507414
8	0.15043586117188493	0.2547782571575554	0.25801333165848717
9	0.23838756817177711	0.25977862795602147	0.2607877260153081
10	0.2607395693157139	0.26267361708332687	0.2628489626916974
11	0.26458166185733095	0.26458166185733095	0.26458166185733095
