Number of features	25 percentile	Median	75 percentile
1	0.021482955435611538	0.03197336864673048	0.04583725205430958
2	0.04379695095491081	0.057941588733209835	0.11152896725367166
3	0.0645387967100902	0.08587379007713421	0.20585399012120123
4	0.07986966474523871	0.1258750023591098	0.21581245452115397
5	0.1268478976246712	0.13763431618152486	0.22257087781006524
6	0.13505459507979184	0.2218416733103422	0.2505468993143623
7	0.14487919522407677	0.22760987141852615	0.2538285063428951
8	0.15068171208647405	0.23787343652737475	0.2575927848043248
9	0.23838756817177711	0.25977862795602147	0.2607877260153081
10	0.2607395693157139	0.26267361708332687	0.2628489626916974
11	0.26458166185733095	0.26458166185733095	0.26458166185733095
