1.ID,2.Annotation,3.Chromsome,4.Start,5.End,6.Strand,7.GC,8.Identity,9.z_score,10.SCI,11.tblastx_score,12.polyA_RNAseq_MAX,13.small_RNAseq_SUM,14.small_RNAseq_MAX,15.Array_totalRNA_MAX,16.Array_polyA_MAX,17.Array_nonpolyA_MAX,18.histone_mark_only_clusters
bins_12997737,ancestral_repeat,chr1,66541397,66541535,-,0.467625899280576,55.40,-1.27,0.38,0,0,0,0,70.8863636363636,150.909090909091,17.8863636363636,no_match
bins_13301576,exon_CCDS,chr1,152409493,152409579,-,0.517241379310345,93.10,0.43,0.86,0.670247,2.363642,0,0,10257.6765909091,17937.7727272727,5236.27522727273,no_match
bins_13663560,exon_CCDS,chr1,226651242,226651348,-,0.626168224299065,79.44,-0.87,0.70,0.820745,1.565287,0,0,1378.26923076923,2551.73076923077,604.394230769231,no_match
bins_12747570,three_prime_UTR,chr1,16214551,16214629,-,0.620253164556962,63.86,-0.16,0.62,0.267773,1.217124,0,0,232.736111111111,1561.18055555556,292.194444444444,no_match
bins_12829932,ancestral_repeat,chr1,34972364,34972438,-,0.333333333333333,66.67,0.25,0.35,0.413979,0,0,0,46.2236842105263,66.0921052631579,78.5131578947368,no_match
bins_13664887,three_prime_UTR,chr1,227526689,227526769,-,0.444444444444444,37.21,-0.64,-0.00,0,0.547431,0,0,1280.2625,2771.7375,1011.5,no_match
bins_13002507,three_prime_UTR,chr1,67332918,67332984,-,0.462686567164179,61.19,0.53,0.11,0.369341,0.012934,0,0,0,0,0,no_match
bins_321176,exon_CCDS,chr1,67407662,67407805,+,0.3125,86.81,0.39,0.56,1.07361,0.059636,0,0,256.6171875,219.0625,28.84375,no_match
bins_12683137,ncRNA_3019,chr1,699466,699584,-,0.445378151260504,67.46,-1.51,0.33,0.416543,0.112171,0,0,9519,5743.62,3097,no_match
bins_13668679,exon_CCDS,chr1,229070630,229070706,-,0.805194805194805,85.37,-0.75,0.75,0.699309,1.470569,0,0,294.230769230769,1244.21153846154,117.615384615385,no_match
bins_12707509,exon_CCDS,chr1,6581986,6582109,-,0.637096774193548,87.90,2.29,0.85,1.10922,2.344905,0.841,10.252,1126.31666666667,1577.05,903.816666666667,no_match
bins_13630472,three_prime_UTR,chr1,218388906,218389007,-,0.372549019607843,31.37,-0.13,-0.00,0,1.041785,0,0,1817.4,1670.2,310.86,no_match
bins_13296424,ancestral_repeat,chr1,151138665,151138743,-,0.278481012658228,55.56,-1.08,0.38,0,0,0,0,0,0,0,no_match
bins_643860,ancestral_repeat,chr1,157947493,157947632,+,0.378571428571429,77.55,0.15,0.70,0.693746,0,0,0,0,0,0,no_match
bins_12832198,ancestral_repeat,chr1,35525549,35525646,-,0.285714285714286,44.90,0.77,0.12,0.380846,0.037330,0,0,94.4736842105263,42.9210526315789,66.6710526315789,no_match
bins_157741,ncRNA_3019,chr1,37013699,37013842,+,0.486111111111111,82.64,0.49,0.63,0.739351,0,0,0,121.75,20.0882352941176,26.625,no_match
bins_12934679,ancestral_repeat,chr1,56163097,56163218,-,0.262295081967213,59.20,1.31,0.10,0,0,0,0,110.527777777778,80.25,58.6388888888889,no_match
bins_978602,ancestral_repeat,chr1,225557938,225558046,+,0.394495412844037,59.35,-0.79,0.44,0.419545,0.031058,0,0,0,0,0,no_match
bins_12835539,exon_CCDS,chr1,36336449,36336550,-,0.676470588235294,93.14,-3.76,0.94,0.989908,0.206499,0,0,118.85,211.54,110.09,no_match
bins_981310,five_prime_UTR,chr1,226531296,226531376,+,0.592592592592593,79.01,0.35,0.66,0.459436,0.243049,0,0,1448.21428571429,1234.04761904762,507.321428571429,no_match
bins_966972,three_prime_UTR,chr1,222413190,222413292,+,0.339805825242718,77.67,-1.28,0.42,0.320587,0.750966,0,0,273.869047619048,1203.44047619048,350.535714285714,no_match
bins_350903,three_prime_UTR,chr1,74782314,74782443,+,0.392307692307692,61.83,-0.12,0.47,0.462559,0.031720,0,0,105.6875,87.3392857142857,59.8125,no_match
bins_532130,exon_CCDS,chr1,111586396,111586475,+,0.525,78.75,-2.18,0.67,0.728889,2.044280,0,0,1299.55952380952,3311.38095238095,78.6428571428571,no_match
bins_631874,exon_CCDS,chr1,154828311,154828420,+,0.681818181818182,54.55,-0.50,0.45,0.515124,4.138056,0.948,11.556,862.711538461538,3016.30769230769,571.086538461538,no_match
bins_23446,three_prime_UTR,chr1,6081640,6081769,+,0.676923076923077,42.31,-2.31,0.31,0.262349,2.022241,0,0,1980.34615384615,1461.16346153846,174.355769230769,no_match
bins_297437,ncRNA_3019,chr1,63139644,63139787,+,0.548611111111111,47.92,0.48,0.34,0.356845,0.022127,0,0,181.55,207.55,183.2,no_match
bins_498169,ancestral_repeat,chr1,103619399,103619506,+,0.398148148148148,44.52,-0.23,0.17,0.395328,0,0,0,0,0,0,no_match
bins_855960,ancestral_repeat,chr1,201188419,201188552,+,0.440298507462687,57.14,-2.59,0.37,0.420021,0.090559,0,0,0,0,0,no_match
bins_13423091,three_prime_UTR,chr1,176165591,176165683,-,0.580645161290323,52.11,-1.90,0.46,1.09384,0.515939,0,0,139.891304347826,347.869565217391,74.1521739130435,no_match
bins_721014,three_prime_UTR,chr1,173225858,173225971,+,0.359649122807018,80.00,-0.30,0.20,0.66625,0.542413,0,0,683.857142857143,849.964285714286,242.214285714286,no_match
bins_686710,exon_CCDS,chr1,165647926,165648063,+,0.594202898550725,81.16,-0.53,0.51,1.02883,1.115878,0,0,818.515625,2242.9296875,517.1875,no_match
bins_747249,three_prime_UTR,chr1,177310950,177311051,+,0.284313725490196,46.30,0.71,0.07,0,0.329974,0,0,698.777777777778,1465.44444444444,334.638888888889,no_match
bins_13527890,three_prime_UTR,chr1,199643169,199643260,-,0.608695652173913,51.09,-0.35,0.43,0.585242,0.044822,0,0,487.195652173913,575.065217391304,298.413043478261,no_match
bins_133834,exon_CCDS,chr1,32442362,32442505,+,0.590277777777778,86.81,0.18,0.81,0.914641,1.787351,0,0,417.404411764706,1723.38970588235,142.757352941176,no_match
bins_13136853,exon_CCDS,chr1,95135913,95136046,-,0.455223880597015,87.31,0.84,0.77,1.22552,10.319625,0,0,63.1451612903226,18518.0322580645,2165.46774193548,no_match
bins_12955631,ancestral_repeat,chr1,59081087,59081213,-,0.338582677165354,53.03,-0.06,0.20,0.339431,0.030614,0,0,0,0,0,no_match
bins_812469,ancestral_repeat,chr1,191845462,191845537,+,0.447368421052632,39.47,0.81,0.11,0,0.039384,0,0,0,0,0,no_match
bins_190100,three_prime_UTR,chr1,43013900,43013974,+,0.413333333333333,52.50,-1.52,0.26,0,0.408790,0,0,231.671875,221.5,102.28125,no_match
bins_552734,ancestral_repeat,chr1,115620217,115620343,+,0.377952755905512,67.86,0.58,0.51,0.52903,0,0,0,0,0,0,no_match
bins_13297176,five_prime_UTR,chr1,151280815,151280925,-,0.369369369369369,46.90,-1.16,0.27,0.208955,0.023477,0,0,41.5576923076923,11.4038461538462,18.1346153846154,no_match
bins_12798317,exon_CCDS,chr1,27748770,27748850,-,0.679012345679012,91.36,-1.33,0.84,0.700525,1.268916,0,0,172.894736842105,193.184210526316,69.8552631578947,no_match
bins_12836577,exon_CCDS,chr1,36560555,36560677,-,0.723577235772358,88.62,0.44,0.77,0.363349,4.123532,0,0,1026.19827586207,1594.02586206897,180.586206896552,no_match
bins_13212667,exon_CCDS,chr1,111294183,111294317,-,0.355555555555556,66.21,0.72,0.35,0.389669,1.124213,0,0,785.08064516129,1230.56451612903,601.685483870968,no_match
bins_12811104,exon_CCDS,chr1,31534669,31534808,-,0.492857142857143,54.86,-1.28,0.38,0.528618,2.863581,0,0,1145.46741935484,3089.44290322581,1197.46774193548,no_match
bins_905345,exon_CCDS,chr1,209599840,209599976,+,0.496350364963504,67.61,0.30,0.46,1.01168,0.441560,0,0,2026.58870967742,2669.60483870968,575.161290322581,no_match
bins_12964627,ancestral_repeat,chr1,60553167,60553308,-,0.387323943661972,42.76,-0.12,0.10,0,0,0,0,0,0,0,no_match
bins_518220,five_prime_UTR,chr1,109229631,109229723,+,0.290322580645161,86.17,-1.32,0.63,0.666125,0.805075,0,0,914.541666666667,1138.52777777778,629.097222222222,no_match
bins_73952,ancestral_repeat,chr1,18199204,18199341,+,0.231884057971014,72.46,-0.86,0.39,0.532708,0,0,0,872,2150.125,527.25,no_match
bins_64826,exon_CCDS,chr1,15860338,15860481,+,0.416666666666667,70.14,-1.57,0.55,0.677217,1.274735,0,0,635.5625,2376.4375,652.828125,no_match
bins_113064,exon_CCDS,chr1,26930518,26930619,+,0.637254901960784,94.12,-0.42,0.49,0.31343,4.491083,0,0,2447.3,5199.22,1578.62,no_match
bins_12761693,exon_CCDS,chr1,19353991,19354139,-,0.523489932885906,86.58,0.01,0.80,1.2012,2.575449,0,0,2709.22857142857,3747.55714285714,1637.05714285714,no_match
bins_49567,three_prime_UTR,chr1,11644877,11645013,+,0.525547445255474,50.72,-0.28,0.42,0.35489,0.999312,0,0,779.015625,346.59375,85.2734375,no_match
bins_12728703,exon_CCDS,chr1,11181996,11182063,-,0.544117647058823,82.35,-0.66,0.58,0.535519,0.784155,0,0,380.972222222222,462.486111111111,219.986111111111,no_match
